to,from,x,y,cov,cost
1,9572,0.221843,8.98251,3.87515,169.427
2,1,31.9718,29.8315,3.87515,207.41
3,10261,13.6549,46.2452,3.90182,44.2609
4,3,29.0143,28.8725,3.88155,67.4497
5,61,24.6787,22.7373,3.87533,112.663
6,5,29.6752,29.9524,3.87523,121.439
7,18021,27.8365,28.93,3.87533,78.7425
8,7,29.4462,30.7535,3.87523,81.1748
9,4984,68.1318,46.0137,3.87515,138.29
10,9,29.357,28.943,3.87515,180.656
11,116,31.3113,45.9778,3.87515,137.751
12,11,30.3325,27.3111,3.87515,156.443
13,512,33.1338,34.0783,4.10184,55.9664
14,13,30.1211,29.9494,3.98622,61.0776
15,47,37.8546,19.7655,5.79982,29.5168
16,15,29.1867,29.7172,4.10184,42.7141
17,401,11.5277,17.6846,7.78339,8.18026
18,17,29.5266,30.7298,4.33777,30.4095
19,118,33.8707,46.3628,3.98622,50.077
20,19,29.191,29.1562,3.90182,67.9086
21,806,19.8341,29.2368,4.81911,22.1629
22,21,29.4112,31.1131,4.33777,31.922
23,275,29.2925,45.9989,4.81911,41.3148
24,23,30.5362,28.9648,4.10184,58.3942
25,23,30.9804,29.1625,4.10184,58.2356
26,23,30.2783,29.1507,3.92957,58.1918
27,286,40.7382,23.2583,4.81911,33.848
28,27,31.0111,29.4691,4.10184,45.3888
29,346,24.8588,3.67597,7.78339,16.2095
30,29,30.89,29.0394,4.10184,42.2801
31,463,35.8254,25.5498,4.81911,30.3449
32,31,30.5227,28.4601,4.10184,36.3937
33,8890,23.4075,30.616,4.10184,24.661
34,33,29.0774,28.6065,3.98622,30.6765
35,541,19.4623,20.764,7.78339,14.3453
36,35,29.2564,28.6852,4.81911,26.9417
37,714,25.3616,29.0375,5.79982,24.6666
38,37,28.9864,31.2974,4.81911,28.9382
39,884,32.2887,22.925,5.79982,25.7867
40,39,31.137,28.1924,4.81911,31.1786
41,636,24.6646,21.308,7.78339,18.61
42,41,31.2731,28.9862,5.79982,28.7405
43,2342,23.4178,24.1103,7.78339,19.4933
44,43,29.5458,26.7541,5.79982,26.1673
45,47,24.5047,22.0684,4.81911,18.8688
46,45,30.1816,29.8641,3.98622,28.5125
48,47,29.515,26.7532,5.79982,25.7197
49,401,22.0974,22.4431,5.79982,17.4986
50,49,29.3926,30.8853,4.33777,28.6561
51,47,29.7578,24.9394,7.78339,24.7701
52,51,31.161,28.4043,5.79982,28.5083
53,47,28.3599,29.3776,5.79982,26.6941
54,53,29.2559,30.0872,4.81911,27.8371
55,417,21.5628,21,7.78339,15.9593
56,55,30.3875,28.8694,5.79982,27.7831
57,401,21.6412,12.7964,5.79982,13.4894
58,57,35.3326,29.532,4.33777,35.1119
59,920,22.1774,8.6814,3.87533,123.028
60,59,33.6629,29.9606,3.87515,147.209
61,11053,39.4243,17.9483,3.87668,97.1591
62,61,35.3041,29.4379,3.87523,109.365
63,18022,34.098,35.6525,3.87828,80.4533
64,63,35.2716,27.935,3.87668,88.2595
65,613,32.8041,16.1645,4.81911,24.7612
66,65,34.2524,28.0614,3.98622,36.746
67,417,36.0702,27.1749,4.81911,31.5286
68,67,34.7884,28.1909,4.10184,33.1643
69,1261,23.0848,46.3934,3.87668,79.3764
70,69,33.7531,29.5775,3.87551,99.2909
71,642,33.1487,21.8761,4.81911,26.0252
72,71,34.3404,28.9566,3.98622,33.2054
73,6765,50.2301,42.5283,3.98622,51.9557
74,73,34.3268,29.9392,3.87828,72.2387
75,47,9.20649,5.92325,7.78339,4.15326
76,75,33.9228,29.5318,3.98622,38.3331
77,47,18.8452,19.8866,7.78339,13.2658
78,77,34.9821,29.3,4.33777,31.9477
79,1073,30.695,14.7837,4.81911,21.2545
80,79,34.417,30.3361,4.10184,37.2461
81,401,25.0484,26.7956,5.79982,22.6466
82,81,33.7745,28.6728,4.10184,31.5723
83,417,23.6072,26.8805,7.78339,21.9225
84,83,36.3223,28.6675,4.81911,34.7626
85,47,19.3957,12.5574,11.62,9.73753
86,85,36.4294,28.8485,5.79982,33.3076
87,417,26.1577,26.8517,7.78339,23.374
88,87,35.0452,27.6788,5.79982,32.3
89,541,31.7107,26.8194,5.79982,27.6563
90,89,34.8296,29.7292,4.81911,31.9217
91,47,25.577,17.6129,7.78339,17.3378
92,91,33.493,29.1985,4.81911,31.3695
93,47,26.6657,26.2373,5.79982,23.2679
94,93,36.2036,28.7424,4.81911,33.1292
95,640,27.92,27.1934,7.78339,24.9451
96,95,35.9116,28.8367,4.81911,33.1039
97,1032,30.1091,26.7109,4.10184,26.3237
98,97,33.3818,29.2968,3.98622,30.4948
99,47,16.5319,12.8962,11.62,7.14513
100,99,34.1762,30.7718,5.79982,32.2621
101,47,24.8815,36.405,5.79982,30.3098
102,101,34.3653,29.2693,4.81911,42.1782
103,636,37.2441,25.4195,5.79982,31.326
104,103,34.4844,29.1548,4.81911,35.9702
105,93,34.5841,29.324,4.33777,31.7666
106,1109,24.0903,19.0596,7.78339,16.7573
107,106,34.5493,28.741,3.98622,31.0093
108,417,28.6224,23.47,7.78339,23.211
109,108,35.3758,28.7736,5.79982,31.7979
110,51,33.8399,30.5778,5.79982,31.731
111,1090,13.4186,32.0608,4.81911,30.5617
112,111,32.2736,26.1732,4.10184,50.3145
113,11,32.6786,28.3018,3.87515,155.48
114,7484,72.5032,46.087,3.8759,102.26
115,114,33.2701,26.3571,3.87519,146.175
116,18023,46.8027,45.7677,3.87517,122.258
117,116,31.25,26.7408,3.87515,146.833
118,417,23.4081,45.3957,4.33777,39.5697
119,118,32.77,26.3372,3.90182,60.8035
120,65,23.9428,22.8056,3.98622,35.8349
121,120,31.6581,28.6159,3.90182,45.4934
122,928,31.2815,23.7426,3.90182,28.4998
123,122,32.2524,26.8541,3.88821,31.7592
124,971,47.9832,40.4772,4.33777,49.0831
125,124,31.9789,26.4862,3.92957,70.3407
126,333,34.2354,21.5838,4.10184,26.8686
127,126,31.4942,26.7052,3.90182,32.6775
128,23,47.7772,46.3542,3.98622,59.8029
129,128,31.6043,27.6781,3.88821,84.5084
130,368,31.248,33.5701,4.81911,32.2823
131,130,31.9424,27.0793,3.98622,38.8102
132,750,32.8512,26.6418,5.79982,28.3719
133,132,33.5872,27.8419,4.33777,29.7798
134,350,27.7438,31.7923,4.10184,28.3563
135,134,31.0242,27.7474,3.98622,33.5642
136,77,26.6251,29.542,5.79982,25.6656
137,136,31.5495,27.7977,4.81911,30.8898
138,47,13.9779,20.7727,7.78339,11.4836
139,138,32.1613,27.088,4.81911,30.7325
140,47,12.2608,17.2746,11.62,7.61782
141,140,31.782,28.1731,4.81911,29.9753
142,47,30.6139,26.6559,4.81911,26.5019
143,326,22.615,19.0043,7.78339,15.5004
144,143,32.3995,27.4521,4.81911,28.4272
145,147,25.3659,22.2078,7.78339,19.6274
146,145,33.906,26.1599,5.79982,29.0377
147,47,18.9575,17.3102,11.62,11.5619
148,147,33.8811,27.3441,4.81911,29.545
149,67,33.9868,27.0762,4.33777,33.6144
150,47,24.635,19.6444,7.78339,17.5271
151,150,34.4206,27.0226,5.79982,29.7825
152,116,32.2596,30.9592,3.87515,143.014
153,11,29.5415,31.5641,3.87515,152.273
154,806,3.9587,41.4143,4.81911,35.2727
155,154,31.7276,29.7688,3.92957,65.3847
156,69,33.1908,31.4455,3.87523,97.4199
157,286,28.219,20.9185,5.79982,24.6684
158,157,32.5773,29.5322,4.10184,34.322
159,2124,66.8965,21.3657,3.98622,59.285
160,159,31.1459,31.5009,3.88155,96.4445
161,541,25.4218,25.2538,5.79982,21.746
162,161,31.7193,31.3785,4.10184,30.5306
163,47,8.32552,14.1414,11.62,4.46714
164,163,32.1107,31.6549,4.81911,34.0045
165,846,29.0431,33.641,4.81911,30.6087
166,165,31.1445,32.4087,4.33777,33.0447
167,41,30.9775,32.1902,4.81911,31.1907
168,10354,25.9582,21.8456,5.79982,19.8792
169,168,31.4319,29.6948,4.33777,29.4485
170,1176,33.2389,31.2407,3.90182,31.5769
171,170,32.0317,32.1409,3.88821,33.0828
172,47,11.9181,10.9549,11.62,2.14262
173,172,31.9916,30.7088,4.33777,30.3058
174,47,13.3302,17.8331,11.62,8.51162
175,174,33.0748,30.035,5.79982,31.7223
176,145,31.9805,32.4078,4.81911,31.7844
177,53,30.9271,32.2543,4.81911,30.5497
178,884,29.6105,24.664,5.79982,24.6587
179,178,32.9179,29.8687,4.10184,30.8254
180,49,30.6442,30.0969,4.81911,28.9716
181,47,12.0503,12.0844,4.33777,2.92377
182,181,30.5045,31.6965,3.98622,29.8532
183,53,32.9508,30.9044,4.81911,31.5323
184,47,29.8151,29.9524,7.78339,28.1201
185,184,33.077,30.7213,5.79982,31.4713
186,147,26.9523,25.1166,5.79982,22.7358
187,186,32.181,32.0895,4.33777,31.4513
188,116,53.4636,43.1671,3.87516,129.409
189,188,36.3941,23.8456,3.87515,155.19
190,574,43.5506,24.8636,4.33777,36.7299
191,190,34.6458,23.0475,4.10184,45.818
192,1096,24.4303,30.9444,4.81911,27.1571
193,192,33.8576,24.2033,4.33777,38.7467
194,806,27.4267,37.8151,4.81911,33.6057
195,194,35.0286,23.7115,3.98622,49.6276
196,858,6.01668,26.0048,5.79982,16.8855
197,196,34.3758,23.1797,3.98622,45.385
198,346,21.971,4.30317,7.78339,13.2835
199,198,34.7993,23.7708,4.33777,36.5977
