to,from,x,y,cov,cost
1,7323,60.2247,45.8367,8.73461,113.474
2,1,52.2637,31.3279,8.72488,130.024
3,1,46.6554,34.0163,8.72488,131.47
4,489,57.9455,41.521,9.72363,65.322
5,4,43.0637,33.6843,9.24696,82.1411
6,4469,70.3766,45.7848,8.71056,138.333
7,6,43.1689,34.3739,8.70814,167.836
8,1,54.9985,45.6758,8.72923,118.703
9,8,42.8148,34.3854,8.72135,135.314
10,1441,76.9208,45.6775,9.24696,85.7603
11,10,41.839,33.0887,8.93904,123.032
12,296,43.7139,28.2592,9.96226,38.5623
13,12,42.2898,33.05,9.53034,43.5603
14,1996,55.7377,17.0618,9.37378,47.8739
15,14,42.6857,32.1182,9.14424,67.8
16,670,5.24904,27.9257,11.0696,18.5446
17,16,44.3225,34.1026,9.53034,58.1033
18,1110,36.9412,22.971,9.96226,30.054
19,18,43.1735,32.0301,9.72363,41.0498
20,593,45.5129,22.373,9.53034,37.899
21,20,42.5983,33.9187,9.06103,49.8069
22,773,18.4094,17.6157,11.0696,11.388
23,22,43.2251,34.4796,9.96226,41.3914
24,851,32.6584,24.6515,10.6206,27.276
25,24,42.8125,34.4017,9.37378,41.3532
26,924,37.5647,29.8842,10.2569,34.1295
27,26,43.0356,33.7469,9.96226,40.8266
28,2617,40.7809,23.7125,9.72363,33.7561
29,28,45.9508,34.126,9.14424,45.3823
30,2067,36.7647,40.1484,9.06103,63.2753
31,30,45.4365,33.9581,8.99364,73.9299
32,538,42.1834,41.9017,9.24696,46.0271
33,32,45.0419,34.5414,9.14424,53.923
34,2809,23.3374,45.7177,9.24696,44.2556
35,34,44.8104,33.3443,8.93904,69.0385
36,1106,46.8186,45.7131,9.24696,52.3153
37,36,45.0798,34.0209,8.89483,64.1361
38,2604,26.4613,30.167,9.37378,28.4529
39,38,45.3595,33.8986,9.14424,47.716
40,670,16.7263,25.1108,11.0696,16.5402
41,40,45.1576,34.3241,9.96226,46.4271
42,1803,26.4255,19.6403,11.0696,19.1338
43,42,45.1429,33.3864,10.2569,42.3565
44,670,34.8429,31.7501,10.2569,33.0188
45,44,44.0451,35.726,9.37378,43.0432
46,78,52.6118,43.542,9.37378,55.3197
47,46,44.7059,35.2067,9.24696,66.808
48,985,35.7777,45.5687,9.96226,44.3979
49,48,44.1372,35.6963,9.53034,57.3342
50,961,32.3194,15.3542,10.6206,23.2209
51,50,44.4808,34.659,9.96226,46.0369
52,117,45.0014,35.7967,9.96226,43.8591
53,52,44.3794,34.497,9.72363,45.3
54,926,40.6348,28.9839,9.72363,36.1526
55,54,44.343,35.4976,9.37378,43.648
56,670,16.7242,16.3423,11.0696,9.24336
57,56,44.3225,35.4781,9.72363,42.8267
58,78,45.9711,26.8632,9.96226,39.7389
59,58,43.8502,35.0704,9.72363,48.2157
60,1464,34.2042,21.7828,10.6206,26.9269
61,60,44.5842,34.8902,9.72363,43.6466
62,12345,28.4136,9.80943,10.6206,18.4765
63,62,43.4681,35.069,9.37378,47.882
64,175,18.6583,8.46231,11.0696,8.86312
65,64,44.4106,34.8522,9.96226,45.736
66,1256,26.3934,28.6351,10.2569,24.8268
67,66,44.191,35.3606,9.72363,43.8528
68,670,35.865,29.6303,9.96226,32.4707
69,68,44.0888,34.9433,9.53034,42.2615
70,123,33.0586,27.2103,9.96226,29.2764
71,70,43.3946,34.9498,9.53034,42.189
72,2774,34.0899,15.4703,10.2569,25.7031
73,72,45.003,31.7895,9.53034,45.3351
74,2454,42.2326,45.7037,8.85901,98.9511
75,74,45.3247,32.5569,8.78746,112.457
76,32,44.5775,32.5926,8.93904,55.6392
77,36,44.2067,31.8477,8.93904,66.4246
78,670,29.6273,18.6797,10.6206,21.4609
79,78,44.7225,32.587,9.96226,41.9859
80,296,39.2167,22.5693,9.96226,31.9378
81,80,44.2784,32.423,9.53034,43.0155
82,1071,31.3916,30.7932,9.96226,30.1036
83,82,44.1238,32.0212,9.24696,42.895
84,670,28.1581,28.5906,11.0696,25.987
85,84,44.2206,32.4445,9.96226,42.5054
86,1204,27.6504,25.9478,9.53034,23.8186
87,86,43.8055,31.6385,9.24696,40.9467
88,2067,48.6979,32.5398,9.06103,67.5178
89,88,49.8224,38.7381,8.99364,73.8172
90,300,48.4417,37.9958,9.72363,47.7173
91,90,49.588,37.9804,9.37378,48.8637
92,8,49.3717,38.6471,8.72488,127.707
93,546,54.198,27.5619,8.71279,142.157
94,93,48.5071,37.1117,8.71056,153.273
95,1712,52.1456,30.8917,9.14424,52.7061
96,95,50.2653,37.7917,9.06103,59.8576
97,186,53.0867,34.2648,9.37378,53.9475
98,97,48.4398,38.4554,9.14424,60.2049
99,2604,44.7855,45.6284,9.14424,52.2883
100,99,49.0401,37.6654,9.06103,61.3166
101,693,53.7077,45.5657,9.37378,67.0407
102,101,50.2786,37.546,9.24696,75.7628
103,78,36.3307,20.072,9.96226,28.3073
104,103,50.4567,37.1265,9.37378,50.4523
105,296,39.0816,25.0587,9.72363,32.9607
106,105,50.3476,37.2314,9.24696,49.5467
107,103,55.7809,29.9142,9.53034,50.106
108,107,48.8858,37.8588,9.37378,60.6255
109,48,48.4182,37.1387,9.53034,59.5916
110,7958,39.6922,11.1957,9.53034,29.8382
111,110,50.0015,38.166,9.06103,58.7117
112,12,49.563,37.2258,9.72363,49.2681
113,378,40.0443,35.492,9.72363,39.4051
114,113,49.1063,37.3029,9.53034,48.6462
115,248,37.0388,35.4841,10.6206,37.1913
116,115,48.2415,37.6547,9.96226,48.6023
117,670,36.0951,25.957,10.6206,30.5873
118,117,50.6317,37.3588,9.53034,49.0619
119,115,50.8897,43.5791,9.37378,53.2342
120,119,50.1935,38.7256,9.06103,58.1374
121,78,41.3829,27.473,9.37378,36.1414
122,121,48.7707,36.8361,9.14424,48.068
123,670,29.4764,21.7509,10.6206,22.7467
124,123,48.9788,38.8218,9.96226,48.6651
125,670,12.6199,10.4142,11.62,2.65241
126,125,49.7942,39.331,9.96226,49.7493
127,36,48.9283,41.8658,9.14424,56.703
128,36,48.8284,41.5533,9.06103,56.9352
129,12,48.4465,30.2017,9.72363,43.6781
130,129,48.6652,41.2612,9.24696,54.7397
131,882,49.4176,45.6404,9.37378,54.0779
132,131,49.0478,40.8014,9.14424,58.931
133,17324,29.4943,39.8658,9.53034,36.1783
134,133,49.3334,41.2682,9.24696,56.0669
135,48,55.9941,45.7003,9.37378,64.6148
136,135,49.0281,41.8666,9.24696,72.5661
137,670,38.8061,34.3362,10.6206,37.7099
138,137,48.5365,40.8301,10.2569,49.4083
139,884,23.1921,35.9047,9.53034,29.6908
140,139,50.1403,35.7097,9.14424,56.6397
141,1047,45.3169,44.3453,8.77205,91.3285
142,141,50.217,36.4417,8.75956,100.628
143,74,48.7038,35.9406,8.83,110.664
144,58,67.9911,32.1223,9.37378,62.3783
145,144,49.152,36.2884,9.06103,81.6726
146,670,12.7554,16.6055,11.62,7.15714
147,146,49.8904,36.3782,9.72363,49.2282
148,2029,42.0211,35.2679,9.96226,41.0331
149,148,49.8616,36.2548,9.37378,48.9355
150,670,32.9175,28.6871,10.6206,29.5706
151,150,50.5936,35.9675,9.53034,48.6873
152,125,42.6084,28.3068,9.96226,37.5731
153,152,48.7684,35.8423,9.72363,47.3061
154,123,38.9916,28.3104,9.96226,34.3038
155,154,48.9765,36.3013,9.72363,47.0926
156,670,45.8842,33.2256,10.2569,42.7446
157,156,50.9788,36.8648,9.96226,49.0055
158,99,48.0689,39.6767,9.06103,59.0855
159,670,18.1877,4.41676,11.0696,9.91012
160,159,48.7158,38.8744,9.72363,55.9459
161,197,40.5449,45.8603,8.78746,91.0252
162,161,49.4451,40.264,8.75956,101.539
163,2181,47.4077,45.7534,8.93904,54.6591
164,163,48.4547,39.6623,8.85901,60.8396
165,226,32.5872,20.1907,10.2569,27.6331
166,165,49.1478,40.1701,9.72363,53.5837
167,103,40.7673,24.0822,9.72363,34.2878
168,167,48.2478,39.4516,9.24696,51.3809
169,248,31.2391,32.5314,10.2569,31.0161
170,169,48.5312,40.5066,9.53034,50.0587
171,48,49.1097,40.1485,9.53034,58.7897
172,1346,40.8866,36.4048,9.96226,40.903
173,172,47.9797,39.2666,9.53034,48.5518
174,115,48.9313,40.3467,9.96226,50.0395
175,670,13.0298,9.99463,11.62,3.0298
176,175,49.4424,39.5999,9.96226,49.959
177,113,49.1547,40.3074,9.53034,49.7098
178,1587,40.2733,37.2078,9.72363,40.7556
179,178,48.3691,40.439,9.53034,49.4724
180,1055,50.724,22.523,9.24696,43.462
181,180,49.2036,32.1822,8.93904,53.2401
182,2207,37.9785,24.686,9.96226,31.6046
183,182,48.5293,35.2517,9.53034,46.5363
184,7323,58.7597,26.5203,8.72135,127.949
185,184,48.856,35.0967,8.7185,141.05
186,58,53.4721,36.3466,9.53034,51.8303
187,186,49.8709,35.1061,9.06103,55.6391
188,2178,55.1654,45.0224,9.72363,58.3686
189,188,47.8105,34.4625,9.24696,71.2374
190,593,60.029,36.3563,9.14424,56.9836
191,190,50.4645,35.2607,9.06103,66.6107
192,117,43.2793,32.4129,10.2569,40.2461
193,192,48.7905,34.8517,9.24696,46.2727
194,17325,44.8172,32.3118,9.24696,41.3878
195,194,47.2043,34.1783,9.14424,44.418
196,60,50.1321,34.8661,9.37378,47.5393
197,17326,36.1183,45.8018,8.83,86.5981
198,197,46.5102,30.7492,8.77205,104.889
199,17327,29.167,45.6056,8.75956,98.9872
200,199,46.1823,31.006,8.73461,121.408
201,513,16.4895,43.5684,10.2569,35.0133
202,201,45.8022,31.2859,9.37378,66.7953
203,146,28.2077,25.5336,10.6206,25.0033
204,203,47.0195,30.6032,9.96226,44.4863
205,48,46.5192,31.2959,9.37378,62.2611
206,474,57.7719,10.382,9.53034,48.6231
207,206,47.3868,31.8126,9.14424,72.4373
208,2545,43.3696,33.2669,9.96226,41.8291
209,208,47.4895,30.9611,9.72363,46.5503
210,107,55.8268,31.2619,9.37378,51.4544
211,210,45.9719,31.0171,9.24696,61.3123
212,296,46.5832,27.5436,9.53034,40.5945
213,212,47.6979,31.4918,9.37378,44.6971
214,123,37.9578,28.8469,10.2569,33.8051
215,214,47.0595,31.2863,9.96226,43.228
216,1178,61.0161,14.3744,8.99364,82.7643
217,216,48.0105,31.5988,8.89483,104.347
218,1139,33.2069,36.8225,9.37378,36.5121
219,218,49.0341,33.8312,9.14424,52.6196
220,9300,22.7921,29.7207,10.2569,24.5573
221,220,48.3297,30.8678,9.37378,50.1206
222,5260,72.1532,18.4047,9.06103,64.2869
223,222,47.5012,33.0251,8.83,92.9484
224,36,47.574,32.9513,8.99364,65.0994
225,103,48.8665,31.463,9.37378,45.2455
226,914,29.8448,14.6432,10.6206,21.4448
227,226,47.9054,32.8428,9.96226,47.0849
228,123,34.0622,28.5009,9.72363,30.9072
229,228,48.0756,33.1942,9.14424,45.6856
230,670,25.089,16.2008,10.2569,16.3135
231,230,48.9301,31.7883,9.53034,44.7979
232,121,48.1774,33.5151,9.24696,45.2338
233,80,48.3178,31.6187,9.53034,44.7721
234,879,29.7862,16.6818,10.6206,20.8852
235,234,48.6436,31.1055,9.72363,44.6263
236,670,40.7861,23.8184,10.2569,33.7451
237,236,48.4434,30.7738,9.96226,44.0898
238,2207,32.0767,23.1919,10.2569,25.7611
239,238,48.6462,33.376,9.24696,45.2101
240,201,46.6287,32.547,9.37378,67.1045
