to,from,x,y,cov,cost
1,7,4.68929,30.8416,1.14102,72.5214
2,1,6.30777,1.0807,1.13394,102.326
4,3,5.35233,15.1769,1.67636,6.95711
5,3,18.5366,4.63785,10.5,10.081
6,5,19.8229,5.44603,5.74509,11.6001
7,48,27.9688,12.9563,1.26385,43.1647
8,7,23.1508,5.22571,1.1648,52.2738
9,14,11.0791,41.4076,1.26385,48.2419
10,9,13.0094,12.9664,1.14884,76.7485
11,3,15.4306,2.45731,10.5,9.29425
12,52,24.3044,28.0208,1.13439,99.6956
13,12,14.0209,0.166301,1.13361,129.388
14,5,12.1107,19.0542,3.39433,25.8646
15,14,2.27257,6.56896,1.26385,41.7602
16,73,38.4137,47.2729,1.13394,98.6079
17,16,0.257415,8.01664,1.13353,153.352
18,44,68.756,12.2051,1.13531,112.922
19,18,97.7104,3.45192,1.13372,143.17
20,74,84.2743,14.9789,1.13352,169.898
21,20,93.5715,23.2763,1.13351,182.36
22,75,14.6758,48.1691,1.14102,78.8682
23,22,27.2456,42.9199,1.13372,92.49
24,16,39.1044,33.5799,1.13361,112.318
25,24,36.0763,41.2204,1.13353,120.537
26,16,50.6765,2.19047,1.13352,145.328
27,18,83.0815,3.55865,1.13361,129.654
28,27,66.1595,4.13844,1.13351,146.586
29,44,21.0732,33.5028,1.14884,79.0098
30,29,35.3277,1.51858,1.13394,114.027
31,22,41.3839,13.9509,1.13394,122.276
32,31,61.134,16.2549,1.13353,142.16
33,18,58.8322,14.5411,1.13439,123.117
34,18,75.6011,39.935,1.13372,141.484
35,34,95.7569,47.059,1.13352,162.861
36,16,77.0958,29.9251,1.13353,141.002
37,76,59.1249,43.0169,1.13372,109.255
38,37,71.8032,27.8159,1.13352,129.049
39,5,1.84233,33.9676,1.67636,43.8291
40,44,28.1697,34.816,1.14884,72.7354
41,40,11.7376,32.6685,1.13719,89.3073
42,40,12.1838,33.3145,1.13719,88.7917
43,22,5.06255,42.221,1.13719,90.1728
44,9,30.4955,32.636,1.1648,69.5477
45,44,26.7488,24.0503,1.13719,78.9153
46,7,22.9337,10.5849,1.19737,48.7303
47,7,19.9306,18.5577,1.14884,52.9621
48,14,22.4053,16.7984,1.39951,36.4035
49,48,11.0728,20.0947,1.14102,48.2057
50,44,29.3044,11.7503,1.13719,90.4673
51,44,25.5863,35.4988,1.14102,75.2307
52,44,39.0826,39.8525,1.13719,80.7645
53,52,22.148,26.3801,1.13439,102.404
54,44,37.987,29.709,1.14884,77.5907
55,75,32.0494,44.2612,1.14884,70.0468
56,55,30.0794,17.9753,1.13439,96.4065
57,22,28.7979,23.7269,1.13439,107.097
58,16,23.4143,35.3008,1.13361,117.799
59,44,26.6358,17.2259,1.14102,85.4338
60,59,34.1934,27.0096,1.13719,97.7966
61,29,20.6288,35.511,1.13439,81.0665
62,16,26.9154,36.4053,1.13353,114.429
63,48,34.2902,18.4856,1.14884,48.4076
64,9,9.60527,36.7396,1.14884,53.137
65,64,13.1157,18.4345,1.13439,71.7757
66,3,2.67481,7.04161,10.5,7.90003
67,66,23.2946,34.2431,2.24137,42.0336
68,16,47.9143,41.0424,1.13372,109.969
69,34,60.6448,17.2999,1.13353,168.614
70,31,53.3566,39.6695,1.13356,150.644
71,22,44.5173,48.5699,1.13439,108.712
72,71,63.9444,33.2703,1.13372,133.441
73,52,42.4598,35.566,1.13531,86.2215
74,34,81.7193,14.815,1.13353,167.338
75,9,27.3258,41.332,1.1648,64.4887
76,77,54.9154,33.5068,1.13394,98.8549
77,73,47.5559,34.4892,1.13439,91.4301
79,48,17.5027,9.06683,1.19737,45.5585
80,4745,60.0909,39.0934,1.13353,155.275
81,80,12.1906,7.1436,1.13351,212.853
82,4894,54.6971,28.6768,1.13351,199.353
83,82,13.4799,3.98775,1.13351,247.399
84,4895,5.76802,25.281,1.13356,111.796
85,84,9.8629,7.7692,1.13352,129.78
86,22,14.076,10.1459,1.13394,116.896
87,5,10.4267,9.04638,3.39433,19.3118
88,804,44.8173,55.7192,1.13361,128.578
