to,from,x,y,cov,cost
1,618,68.9108,5.4934,0.104836,21.9314
2,1,70.4013,6.43367,0.150023,23.6936
3,761,56.4738,23.6872,0.103614,50.9367
4,3,63.8709,16.1216,0.132938,61.5176
5,330,49.0367,11.0997,0.152077,45.0925
6,5,61.8191,10.8878,0.109429,57.8766
7,1,62.5614,11.5942,0.173678,30.7367
8,7,64.6077,11.1207,0.103122,32.837
9,105,64.848,16.1581,0.206884,29.552
10,9,61.204,11.5798,0.508214,35.4035
11,773,67.1164,15.5707,0.0981896,29.0287
12,11,63.4922,14.3799,0.103895,32.8435
13,618,67.7357,5.06658,0.09707,22.8082
14,13,65.0228,12.0458,0.0966428,30.2961
15,9,60.2895,23.3977,0.105278,38.1072
16,15,62.9458,13.7347,0.0988934,48.1287
17,7,64.3752,10.7048,0.109371,32.7569
18,773,69.3407,8.17275,0.147797,23.5331
19,18,64.6877,11.0417,0.103511,28.9995
20,1,64.3779,12.9506,0.758426,30.6582
21,531,77.6652,4.4685,0.367395,12.8132
22,21,62.6374,12.8127,0.096704,30.0022
23,484,63.397,9.63055,0.0966643,28.1514
24,23,63.7146,11.5872,0.102553,30.1337
25,9,55.8034,19.5035,0.13188,39.1955
26,25,64.5996,14.0704,0.0989558,49.5343
27,568,70.5705,18.0209,0.143988,26.2849
28,27,64.2643,13.6983,0.151193,33.9304
29,23,60.4835,11.8585,0.154205,31.8191
30,29,61.0993,12.1544,0.147286,32.5022
31,755,65.2039,13.2079,0.155226,28.3458
32,31,64.9796,12.4589,0.0987959,29.1275
33,419,79.627,9.36698,0.331253,13.3812
34,33,62.9977,12.5545,0.106524,30.3133
35,281,67.6134,7.47063,0.578417,23.4963
36,35,62.5914,10.994,0.105175,29.631
37,281,62.1868,11.0096,0.126665,29.585
38,37,61.2942,12.0738,0.12526,30.974
39,1,62.6833,16.0148,0.283068,34.1577
40,39,63.3023,14.752,0.128754,35.564
41,442,62.983,18.2886,0.106855,57.8919
42,41,64.8929,15.6371,0.140935,61.1597
43,13007,61.9716,17.9934,0.118792,36.1384
44,43,61.6882,16.0724,0.107546,38.0802
45,77,64.4254,12.9773,0.0995363,30.6953
46,45,63.2691,16.0818,0.323698,34.0081
47,105,62.2579,14.352,0.264622,31.7918
48,47,61.5294,15.5813,0.207927,33.2207
49,47,62.5752,15.8206,0.103452,33.2943
50,9,59.2743,17.4783,0.137378,35.28
51,50,61.0903,17.1565,0.118043,37.1243
52,519,67.7562,10.444,0.131806,24.902
53,52,62.31,15.2539,0.1893,32.1681
54,132,57.5229,11.289,0.100166,34.0901
55,54,62.6813,17.2687,0.139318,41.9873
56,107,64.7723,17.5393,0.09983,30.5955
57,56,62.9968,17.6217,0.192341,32.3729
58,568,67.0411,13.7237,0.15611,26.8264
59,58,63.005,16.0227,0.20139,31.4713
60,15942,64.7764,13.7191,0.143711,28.8589
61,60,62.2928,18.0725,0.205215,33.871
62,221,71.7957,13.6304,0.0974237,34.0705
63,62,68.1019,11.3427,0.110877,38.4154
64,66,68.8516,10.6276,0.100507,30.0136
65,64,68.4621,12.9138,0.113555,32.3328
66,1,65.8655,7.04324,0.124354,25.3484
67,66,66.5243,13.2385,0.250337,31.5786
68,9,66.1581,15.1952,0.247475,31.1779
69,531,79.175,16.1166,0.483665,18.5928
70,69,67.0295,13.9942,0.387642,30.9224
71,7,66.0079,11.2476,0.0982052,34.2006
72,618,58.7551,3.66829,0.0992192,31.3631
73,72,67.2186,14.5436,0.571092,45.1437
74,11,65.6868,14.4739,0.111067,30.8305
75,15943,65.4182,15.3318,0.0976597,29.0863
76,75,66.5995,14.3802,0.133604,30.6032
77,374,66.4092,9.46599,0.131489,26.6623
78,77,66.8552,10.6909,0.280519,27.9658
79,105,66.6574,12.1815,0.283813,27.8484
80,79,67.9378,11.4494,0.13873,29.3233
81,568,73.0441,12.8734,0.131466,20.8399
82,81,66.1714,12.4445,0.177386,27.7259
83,75,65.7796,15.7824,0.0997438,29.6639
