x,y,sigma_trace,lambda_trace
5,5,2,0
5,5,2,0
5.01851,5.05125,1.33333,2.66667
5.03702,5.1025,1.25,2.19
5.05552,5.15375,1.2381,2.0995
5.07403,5.205,1.23636,2.08571
5.07403,5.205,1.23636,2.08571
5.16375,5.16669,1.23611,2.08368
5.16375,5.16669,1.23611,2.08368
5.12365,5.25513,1.23607,2.08338
5.08355,5.34357,1.23607,2.08334
5.08355,5.34357,1.23607,2.08334
5.10605,5.42063,1.23607,2.08333
5.12855,5.4977,1.23607,2.08333
5.15105,5.57476,1.23607,2.08333
5.17354,5.65182,1.23607,2.08333
5.17354,5.65182,1.23607,2.08333
5.13477,5.68379,1.23607,2.08333
5.096,5.71576,1.23607,2.08333
5.05723,5.74772,1.23607,2.08333
5.01846,5.77969,1.23607,2.08333
4.97969,5.81166,1.23607,2.08333
4.97969,5.81166,1.23607,2.08333
4.98735,5.89689,1.23607,2.08333
4.99502,5.98212,1.23607,2.08333
5.00268,6.06735,1.23607,2.08333
5.01035,6.15259,1.23607,2.08333
5.01035,6.15259,1.23607,2.08333
4.99704,6.16425,1.23607,2.08333
4.98373,6.1759,1.23607,2.08333
4.97041,6.18756,1.23607,2.08333
4.97041,6.18756,1.23607,2.08333
4.98365,6.2615,1.23607,2.08333
4.99689,6.33544,1.23607,2.08333
5.01013,6.40937,1.23607,2.08333
5.02336,6.48331,1.23607,2.08333
5.0366,6.55725,1.23607,2.08333
5.0366,6.55725,1.23607,2.08333
5.0279,6.59877,1.23607,2.08333
5.01919,6.6403,1.23607,2.08333
5.01048,6.68183,1.23607,2.08333
5.00178,6.72336,1.23607,2.08333
4.99307,6.76489,1.23607,2.08333
4.99307,6.76489,1.23607,2.08333
4.95179,6.8281,1.23607,2.08333
4.91051,6.89132,1.23607,2.08333
4.91051,6.89132,1.23607,2.08333
4.94274,6.90726,1.23607,2.08333
4.97497,6.9232,1.23607,2.08333
5.0072,6.93913,1.23607,2.08333
5.0072,6.93913,1.23607,2.08333
4.96689,6.98165,1.23607,2.08333
4.92659,7.02416,1.23607,2.08333
4.88629,7.06668,1.23607,2.08333
4.88629,7.06668,1.23607,2.08333
4.89068,7.11253,1.23607,2.08333
4.89508,7.15838,1.23607,2.08333
4.89508,7.15838,1.23607,2.08333
4.94269,7.23065,1.23607,2.08333
4.9903,7.30292,1.23607,2.08333
5.03792,7.37518,1.23607,2.08333
5.08553,7.44745,1.23607,2.08333
5.31425,7.36674,1.23607,2.08333
5.31425,7.36674,1.23607,2.08333
5.32655,7.42553,1.23607,2.08333
5.33885,7.48433,1.23607,2.08333
5.35115,7.54312,1.23607,2.08333
5.35115,7.54312,1.23607,2.08333
5.36991,7.62283,1.23607,2.08333
5.36991,7.62283,1.23607,2.08333
5.45522,7.54288,1.23607,2.08333
5.54053,7.46294,1.23607,2.08333
5.62584,7.383,1.23607,2.08333
5.62584,7.383,1.23607,2.08333
5.56277,7.47849,1.23607,2.08333
5.49969,7.57399,1.23607,2.08333
5.43661,7.66949,1.23607,2.08333
5.37354,7.76499,1.23607,2.08333
5.31046,7.86049,1.23607,2.08333
5.31046,7.86049,1.23607,2.08333
5.25428,7.95128,1.23607,2.08333
5.1981,8.04207,1.23607,2.08333
5.14192,8.13285,1.23607,2.08333
5.08574,8.22364,1.23607,2.08333
5.08574,8.22364,1.23607,2.08333
5.03671,8.28057,1.23607,2.08333
4.98769,8.3375,1.23607,2.08333
4.98769,8.3375,1.23607,2.08333
5.03294,8.43234,1.23607,2.08333
5.07818,8.52719,1.23607,2.08333
5.12342,8.62203,1.23607,2.08333
5.12342,8.62203,1.23607,2.08333
5.1094,8.6477,1.23607,2.08333
5.1094,8.6477,1.23607,2.08333
5.10261,8.6908,1.23607,2.08333
5.10261,8.6908,1.23607,2.08333
5.06746,8.7843,1.23607,2.08333
5.0323,8.87779,1.23607,2.08333
4.99714,8.97129,1.23607,2.08333
4.96199,9.06478,1.23607,2.08333
4.92683,9.15828,1.23607,2.08333
4.92683,9.15828,1.23607,2.08333
4.91516,9.22568,1.23607,2.08333
4.91516,9.22568,1.23607,2.08333
4.88602,9.29433,1.23607,2.08333
4.85688,9.36299,1.23607,2.08333
4.82773,9.43164,1.23607,2.08333
4.79859,9.50029,1.23607,2.08333
4.79859,9.50029,1.23607,2.08333
4.83021,9.53931,1.23607,2.08333
4.86182,9.57833,1.23607,2.08333
4.89344,9.61734,1.23607,2.08333
4.89344,9.61734,1.23607,2.08333
4.88221,9.67957,1.23607,2.08333
4.87099,9.7418,1.23607,2.08333
4.85976,9.80403,1.23607,2.08333
4.84853,9.86626,1.23607,2.08333
4.8373,9.92848,1.23607,2.08333
4.8373,9.92848,1.23607,2.08333
4.87807,10.0041,1.23607,2.08333
4.91884,10.0797,1.23607,2.08333
4.95961,10.1554,1.23607,2.08333
5.00038,10.231,1.23607,2.08333
5.04116,10.3066,1.23607,2.08333
5.04116,10.3066,1.23607,2.08333
5.0721,10.296,1.23607,2.08333
5.10304,10.2853,1.23607,2.08333
5.10304,10.2853,1.23607,2.08333
5.12899,10.3279,1.23607,2.08333
5.15495,10.3705,1.23607,2.08333
5.1809,10.4131,1.23607,2.08333
5.20685,10.4557,1.23607,2.08333
5.23281,10.4982,1.23607,2.08333
5.00219,10.6854,1.23607,2.08333
5.15663,10.7665,1.23607,2.08333
5.15663,10.7665,1.23607,2.08333
5.12626,10.8021,1.23607,2.08333
5.09589,10.8377,1.23607,2.08333
5.06552,10.8733,1.23607,2.08333
5.03515,10.9089,1.23607,2.08333
5.00478,10.9446,1.23607,2.08333
5.00478,10.9446,1.23607,2.08333
5.03537,10.9797,1.23607,2.08333
5.06597,11.0148,1.23607,2.08333
5.09657,11.0499,1.23607,2.08333
5.09657,11.0499,1.23607,2.08333
5.10126,11.1199,1.23607,2.08333
5.10595,11.1898,1.23607,2.08333
5.11064,11.2597,1.23607,2.08333
5.11533,11.3297,1.23607,2.08333
5.12002,11.3996,1.23607,2.08333
5.12002,11.3996,1.23607,2.08333
5.13986,11.4957,1.23607,2.08333
5.1597,11.5917,1.23607,2.08333
5.17954,11.6878,1.23607,2.08333
5.19938,11.7838,1.23607,2.08333
5.21922,11.8798,1.23607,2.08333
5.21922,11.8798,1.23607,2.08333
5.21212,11.9417,1.23607,2.08333
5.20502,12.0036,1.23607,2.08333
5.19792,12.0655,1.23607,2.08333
5.19082,12.1274,1.23607,2.08333
5.18372,12.1893,1.23607,2.08333
5.18372,12.1893,1.23607,2.08333
5.21506,12.1027,1.23607,2.08333
5.21506,12.1027,1.23607,2.08333
5.24853,12.1582,1.23607,2.08333
5.282,12.2137,1.23607,2.08333
5.282,12.2137,1.23607,2.08333
5.287,12.2612,1.23607,2.08333
5.29201,12.3088,1.23607,2.08333
5.29702,12.3564,1.23607,2.08333
5.29702,12.3564,1.23607,2.08333
5.28784,12.3637,1.23607,2.08333
5.27867,12.371,1.23607,2.08333
5.27867,12.371,1.23607,2.08333
5.28936,12.4244,1.23607,2.08333
5.30005,12.4777,1.23607,2.08333
5.30005,12.4777,1.23607,2.08333
5.29983,12.5073,1.23607,2.08333
5.29983,12.5073,1.23607,2.08333
5.28096,12.5543,1.23607,2.08333
5.28096,12.5543,1.23607,2.08333
5.28411,12.62,1.23607,2.08333
5.28727,12.6857,1.23607,2.08333
5.28727,12.6857,1.23607,2.08333
5.28748,12.7848,1.23607,2.08333
5.28769,12.8838,1.23607,2.08333
5.2879,12.9829,1.23607,2.08333
5.28811,13.082,1.23607,2.08333
5.28811,13.082,1.23607,2.08333
5.25427,13.1768,1.23607,2.08333
5.22043,13.2715,1.23607,2.08333
5.18659,13.3663,1.23607,2.08333
5.18659,13.3663,1.23607,2.08333
5.18226,13.4029,1.23607,2.08333
5.17793,13.4395,1.23607,2.08333
5.1736,13.4762,1.23607,2.08333
5.1736,13.4762,1.23607,2.08333
5.1387,13.532,1.23607,2.08333
5.1387,13.532,1.23607,2.08333
5.17912,13.5392,1.23607,2.08333
5.21954,13.5464,1.23607,2.08333
5.25996,13.5536,1.23607,2.08333
5.25996,13.5536,1.23607,2.08333
5.26455,13.592,1.23607,2.08333
5.26455,13.592,1.23607,2.08333
5.30351,13.5791,1.23607,2.08333
5.30351,13.5791,1.23607,2.08333
5.33126,13.6639,1.23607,2.08333
5.35901,13.7486,1.23607,2.08333
5.38676,13.8334,1.23607,2.08333
5.41451,13.9182,1.23607,2.08333
5.44226,14.003,1.23607,2.08333
5.44226,14.003,1.23607,2.08333
5.3884,14.0456,1.23607,2.08333
5.33454,14.0881,1.23607,2.08333
5.33454,14.0881,1.23607,2.08333
5.31944,14.1728,1.23607,2.08333
5.30435,14.2574,1.23607,2.08333
5.28925,14.3421,1.23607,2.08333
5.27416,14.4268,1.23607,2.08333
5.25907,14.5114,1.23607,2.08333
5.25907,14.5114,1.23607,2.08333
5.21443,14.5559,1.23607,2.08333
5.1698,14.6004,1.23607,2.08333
5.12517,14.6448,1.23607,2.08333
5.08054,14.6893,1.23607,2.08333
5.0359,14.7337,1.23607,2.08333
5.0359,14.7337,1.23607,2.08333
